"","k","f","type"
"的",1,12298,"的"
"=",2,11758,"="
"了",3,8568,"了"
"是",4,6122,"是"
"~",5,4924,"~"
"不",6,4589,"不"
"我",7,4412,"我"
"有",8,3886,"有"
"你",9,3697,"你"
"買",10,3317,"買"
"張",11,3222,"張"
"這",12,3057,"這"
"就",13,2730,"就"
"推",14,2608,"推"
"一",15,2564,"一"
"都",16,2369,"都"
"要",17,2170,"要"
"人",18,2164,"人"
"個",19,2139,"個"
"在",20,2091,"在"
"者",21,1936,"者"
"也",22,1934,"也"
"嗎",23,1835,"嗎"
"好",24,1777,"好"
"沒",25,1744,"沒"
"建議",26,1559,"建議"
"還",27,1549,"還"
"說",28,1538,"說"
"很",29,1509,"很"
"會",30,1495,"會"
"他",31,1467,"他"
"被",32,1366,"被"
"○使用",33,1329,"○使用"
"吧",34,1313,"吧"
"看",35,1170,"看"
"那",36,1165,"那"
"幣",37,1152,"幣"
"啊",38,1136,"啊"
"Ptt",39,1075,"Ptt"
"恭喜",40,1072,"恭喜"
"獲得",41,1071,"獲得"
"藍天",42,1071,"藍天"
"枚",43,1057,"枚"
"加油",44,1009,"加油"
"來",45,994,"來"
"可以",46,985,"可以"
"跟",47,929,"跟"
"記者",48,925,"記者"
"爆",49,899,"爆"
"真的",50,886,"真的"
"啦",51,877,"啦"
"篇",52,876,"篇"
"""",53,872,""""
"阿",54,870,"阿"
"上",55,847,"上"
"想",56,828,"想"
"北蘇新倫",57,821,"北蘇新倫"
"去",58,800,"去"
"喔",59,791,"喔"
"￣",60,788,"￣"
"就是",61,771,"就是"
"又",62,750,"又"
"XD",63,739,"XD"
"文",64,739,"文"
"太",65,735,"太"
"原",66,685,"原"
"大",67,684,"大"
"到",68,679,"到"
"綠地",69,672,"綠地"
"知道",70,668,"知道"
"什麼",71,666,"什麼"
"快",72,659,"快"
"種",73,655,"種"
"出來",74,651,"出來"
"台灣",75,646,"台灣"
"沒有",76,639,"沒有"
"給",77,635,"給"
"八卦",78,625,"八卦"
"才",79,619,"才"
"/",80,615,"/"
"只",81,605,"只"
"PO",82,600,"PO"
"能",83,589,"能"
"再",84,584,"再"
"這樣",85,583,"這樣"
"專業",86,577,"專業"
"真",87,573,"真"
"自己",88,572,"自己"
"死",89,567,"死"
"幫",90,554,"幫"
"NULL",91,549,"NULL"
"～",92,548,"～"
"次",93,547,"次"
"現在",94,544,"現在"
"讓",95,524,"讓"
"過",96,519,"過"
"還是",97,518,"還是"
"不要",98,517,"不要"
"新聞",99,511,"新聞"
"當",100,505,"當"
"應該",101,505,"應該"
"把",102,490,"把"
"用",103,487,"用"
"對",104,485,"對"
"誰",105,478,"誰"
"文章",106,477,"文章"
"噓",107,477,"噓"
"如果",108,470,"如果"
"M",109,465,"M"
"事",110,465,"事"
"怎麼",111,458,"怎麼"
"鄉民",112,455,"鄉民"
"請",113,439,"請"
"告",114,426,"告"
"版主",115,422,"版主"
"但",116,421,"但"
"一下",117,416,"一下"
"中",118,415,"中"
"*",119,413,"*"
"所以",120,410,"所以"
"幹",121,405,"幹"
"^",122,402,"^"
"兩",123,402,"兩"
"死刑",124,398,"死刑"
"因為",125,392,"因為"
"敢",126,391,"敢"
"看到",127,389,"看到"
"之",128,384,"之"
"做",129,383,"做"
"_",130,374,"_"
"多",131,374,"多"
"得",132,373,"得"
"大家",133,372,"大家"
"板主",134,372,"板主"
"天",135,371,"天"
"話",136,362,"話"
"叫",137,354,"叫"
"不會",138,352,"不會"
"比",139,349,"比"
"1",140,345,"1"
"為",141,345,"為"
"不能",142,344,"不能"
"先",143,344,"先"
"覺得",144,344,"覺得"
"後",145,337,"後"
"最",146,332,"最"
"和",147,331,"和"
"高調",148,331,"高調"
"不過",149,328,"不過"
"█",150,321,"█"
"小",151,320,"小"
"問題",152,319,"問題"
"爽",153,317,"爽"
"該",154,317,"該"
"講",155,315,"講"
"媽",156,312,"媽"
"吃",157,307,"吃"
"選項",158,305,"選項"
"他們",159,304,"他們"
"這麼",160,303,"這麼"
"只是",161,301,"只是"
"哪",162,300,"哪"
"@",163,299,"@"
"證據",164,295,"證據"
"特殊",165,291,"特殊"
"po",166,290,"po"
"耶",167,290,"耶"
"打",168,285,"打"
"呢",169,285,"呢"
"選",170,281,"選"
"m",171,280,"m"
"下台",172,272,"下台"
"連",173,272,"連"
"著",174,271,"著"
"+",175,270,"+"
"道歉",176,270,"道歉"
"廢死",177,269,"廢死"
"一定",178,266,"一定"
"堆",179,266,"堆"
"愛",180,266,"愛"
"她",181,264,"她"
"下",182,263,"下"
"可能",183,263,"可能"
"已經",184,260,"已經"
"勇者",185,259,"勇者"
"呀",186,258,"呀"
"寫",187,256,"寫"
"錢",188,253,"錢"
"年",189,252,"年"
"北郝新英",190,251,"北郝新英"
"時間",191,251,"時間"
"比較",192,249,"比較"
"抄",193,248,"抄"
"真是",194,245,"真是"
"問",195,245,"問"
"X",196,244,"X"
"時",197,244,"時"
"哥",198,243,"哥"
"但是",199,242,"但是"
"幾",200,235,"幾"
"不用",201,234,"不用"
"出",202,234,"出"
"我們",203,233,"我們"
"ㄧ",204,230,"ㄧ"
"一樣",205,229,"一樣"
"開始",206,229,"開始"
"很多",207,228,"很多"
"別",208,227,"別"
"家",209,227,"家"
"使用",210,225,"使用"
"點",211,224,"點"
"為什麼",212,222,"為什麼"
"亂",213,221,"亂"
"個人",214,219,"個人"
"媒體",215,219,"媒體"
"像",216,218,"像"
"位",217,217,"位"
"等",218,215,"等"
"而",219,214,"而"
"有沒有",220,212,"有沒有"
"假",221,212,"假"
"三",222,210,"三"
"科科",223,208,"科科"
"其實",224,207,"其實"
"找",225,206,"找"
"支持",226,204,"支持"
"蛆",227,202,"蛆"
"朝聖",228,202,"朝聖"
"錯",229,201,"錯"
"投票",230,200,"投票"
"拿",231,200,"拿"
"被告",232,200,"被告"
"刪",233,199,"刪"
"版",234,199,"版"
"李登輝",235,198,"李登輝"
"罵",236,196,"罵"
"啥",237,195,"啥"
"自",238,194,"自"
"囉",239,194,"囉"
"希望",240,191,"希望"
"老師",241,189,"老師"
"某",242,189,"某"
"票",243,189,"票"
"哈哈",244,188,"哈哈"
"結果",245,188,"結果"
"黨工",246,188,"黨工"
"到底",247,187,"到底"
"事情",248,186,"事情"
"怕",249,185,"怕"
"今天",250,183,"今天"
"全",251,183,"全"
"推文",252,183,"推文"
"2",253,182,"2"
"3",254,181,"3"
"社會",255,181,"社會"
"從",256,180,"從"
"發",257,180,"發"
"PTT",258,179,"PTT"
"好了",259,179,"好了"
"每",260,179,"每"
"時候",261,178,"時候"
"一直",262,177,"一直"
"掛",263,177,"掛"
"搞",264,177,"搞"
"更",265,176,"更"
"根本",266,176,"根本"
"魚",267,176,"魚"
"懂",268,176,"懂"
"□",269,175,"□"
"超",270,175,"超"
"人家",271,174,"人家"
"意外",272,173,"意外"
"算",273,172,"算"
"投",274,171,"投"
"板",275,171,"板"
"前",276,171,"前"
"與",277,171,"與"
"廢",278,170,"廢"
"○",279,168,"○"
"之前",280,168,"之前"
"OD",281,167,"OD"
"只有",282,167,"只有"
"這些",283,167,"這些"
"政府",284,166,"政府"
"以為",285,165,"以為"
"放",286,165,"放"
"看完",287,165,"看完"
"公務員",288,164,"公務員"
"▄",289,163,"▄"
"XX",290,163,"XX"
"一點",291,163,"一點"
"反正",292,163,"反正"
"那些",293,163,"那些"
"面對",294,162,"面對"
"開",295,162,"開"
"靠",296,162,"靠"
"以",297,161,"以"
"▅",298,159,"▅"
"哭",299,159,"哭"
"人權",300,158,"人權"
"而已",301,158,"而已"
"表示",302,158,"表示"
"▆",303,157,"▆"
"▃",304,156,"▃"
"高",305,156,"高"
"最後",306,156,"最後"
"需要",307,156,"需要"
"不然",308,155,"不然"
"市府",309,155,"市府"
"並",310,155,"並"
"殺",311,154,"殺"
"好像",312,153,"好像"
"那麼",313,153,"那麼"
"或",314,153,"或"
"直接",315,153,"直接"
"長",316,153,"長"
"第一",317,153,"第一"
"信",318,152,"信"
"新",319,152,"新"
"裡",320,152,"裡"
"包",321,150,"包"
"爛",322,150,"爛"
"反",323,149,"反"
"樓上",324,148,"樓上"
"怎樣",325,147,"怎樣"
"資料",326,147,"資料"
"可",327,146,"可"
"嘛",328,145,"嘛"
"繼續",329,145,"繼續"
"報",330,144,"報"
"備份",331,143,"備份"
"妳",332,141,"妳"
"看板",333,141,"看板"
"早",334,140,"早"
"其他",335,140,"其他"
"報導",336,140,"報導"
"而且",337,138,"而且"
"聽",338,138,"聽"
"夠",339,137,"夠"
"就算",340,137,"就算"
"卻",341,136,"卻"
"本來",342,135,"本來"
"還要",343,135,"還要"
"各",344,134,"各"
"相信",345,134,"相信"
"原來",346,134,"原來"
"國民黨",347,134,"國民黨"
"跳",348,133,"跳"
"本",349,132,"本"
"當然",350,131,"當然"
"謝謝",351,130,"謝謝"
"公告",352,129,"公告"
"八卦版",353,128,"八卦版"
"小心",354,127,"小心"
"認真",355,127,"認真"
"選舉",356,127,"選舉"
"KMT",357,126,"KMT"
"不錯",358,126,"不錯"
"八卦板",359,125,"八卦板"
"已",360,125,"已"
"同",361,125,"同"
"無",362,125,"無"
"︶",363,124,"︶"
"件",364,124,"件"
"差",365,124,"差"
"網路",366,124,"網路"
"＝",367,123,"＝"
"目前",368,123,"目前"
"將",369,123,"將"
"以前",370,122,"以前"
"你們",371,122,"你們"
"幹嘛",372,122,"幹嘛"
"雖然",373,122,"雖然"
"然後",374,121,"然後"
"整",375,121,"整"
"爸",376,120,"爸"
"政治",377,120,"政治"
"起來",378,120,"起來"
"東西",379,119,"東西"
"看看",380,119,"看看"
"事件",381,118,"事件"
"久",382,117,"久"
"月",383,117,"月"
"警察",384,116,"警察"
"╰",385,115,"╰"
"至",386,115,"至"
"所",387,115,"所"
"難",388,115,"難"
"護航",389,115,"護航"
"可是",390,114,"可是"
"紅",391,114,"紅"
"喔喔",392,114,"喔喔"
"感覺",393,114,"感覺"
"會不會",394,114,"會不會"
"XDD",395,113,"XDD"
"強",396,113,"強"
"不可",397,112,"不可"
"以後",398,112,"以後"
"別人",399,112,"別人"
"要不要",400,112,"要不要"
"裸奔",401,112,"裸奔"
"臉",402,112,"臉"
"些",403,111,"些"
"明顯",404,111,"明顯"
"造謠",405,111,"造謠"
"XDDD",406,110,"XDDD"
"之後",407,110,"之後"
"出現",408,110,"出現"
"台",409,110,"台"
"〝",410,109,"〝"
"〞",411,109,"〞"
"刑",412,109,"刑"
"發現",413,108,"發現"
"關",414,108,"關"
"╯",415,107,"╯"
"廢除",416,107,"廢除"
"中國",417,106,"中國"
"由",418,106,"由"
"垃圾",419,106,"垃圾"
"為了",420,106,"為了"
"轉錄",421,106,"轉錄"
"於",422,105,"於"
"請問",423,105,"請問"
"ID",424,104,"ID"
"北",425,104,"北"
"回來",426,104,"回來"
"事實",427,104,"事實"
"玩",428,104,"玩"
"負責",429,104,"負責"
"挺",430,104,"挺"
"馬",431,104,"馬"
"歐弟",432,104,"歐弟"
"懶人",433,104,"懶人"
"",434,103,""
"回",435,103,"回"
"辛苦",436,103,"辛苦"
"國家",437,103,"國家"
"檢舉",438,102,"檢舉"
"簡單",439,102,"簡單"
"不行",440,101,"不行"
"共",441,101,"共"
"一些",442,100,"一些"
"正",443,100,"正"
"正義",444,100,"正義"
"改",445,100,"改"
"咧",446,100,"咧"
"家屬",447,100,"家屬"
"參選",448,100,"參選"
"葉宜欣",449,100,"葉宜欣"
"爆卦",450,100,"爆卦"
"大概",451,99,"大概"
"王",452,99,"王"
"句",453,99,"句"
"名",454,99,"名"
"此",455,99,"此"
"卦",456,99,"卦"
"笑",457,99,"笑"
"影片",458,99,"影片"
"線",459,99,"線"
"蠻",460,99,"蠻"
"帳號",461,98,"帳號"
"斯",462,98,"斯"
"→",463,97,"→"
"記得",464,97,"記得"
"推推",465,97,"推推"
"管",466,97,"管"
"藍",467,97,"藍"
"XDDDD",468,95,"XDDDD"
"內",469,95,"內"
"處理",470,95,"處理"
"讚",471,95,"讚"
"5566",472,94,"5566"
"死刑犯",473,94,"死刑犯"
"完全",474,94,"完全"
"明天",475,94,"明天"
"厲害",476,94,"厲害"
"ptt",477,93,"ptt"
"未",478,93,"未"
"走",479,93,"走"
"看來",480,93,"看來"
"睡",481,93,"睡"
"複製",482,93,"複製"
"學生",483,93,"學生"
"變成",484,93,"變成"
"分",485,92,"分"
"如",486,92,"如"
